task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
461,461.py,0.0,0.44145500515939234,0.4649852108739307,0.7916666666666666,1.0,0.8958333333333333
477,477.py,0.0,0.09554427922043669,0.10855926040543844,1.0,1.0,1.0
556,556.py,0.0,0.18846978629906425,0.2161248172924419,0.5185185185185185,0.5,0.5092592592592593
577,577.py,0.0,0.022192938454540425,0.02830047693825885,0.5185185185185185,1.0,0.7592592592592593
58,58.py,0.0,0.005959978627465526,0.04153509237206396,0.1111111111111111,1.0,0.5555555555555556
59,59.py,0.0,0.016789125215525624,0.05156626918239822,0.0,1.0,0.5
592,592.py,0.0,0.06678694379891939,0.08407657861526269,0.16666666666666666,0.2857142857142857,0.22619047619047616
594,594.py,0.0,0.8641944207171431,0.8767222437646326,1.0,1.0,1.0
600,600.py,0.0,0.6298129992394241,0.644712488543981,1.0,1.0,1.0
603,603.py,1.0,1.0,1.0,1.0,1.0,1.0
604,604.py,1.0,1.0,1.0,1.0,1.0,1.0
605,605.py,1.0,1.0,1.0,1.0,1.0,1.0
606,606.py,1.0,1.0,1.0,1.0,1.0,1.0
608,608.py,1.0,1.0,1.0,1.0,1.0,1.0
617,617.py,0.0,0.8498604018862824,0.8606189497960606,0.8205128205128205,0.5652173913043478,0.6928651059085842
619,619.py,1.0,1.0,1.0,1.0,1.0,1.0
622,622.py,1.0,1.0,1.0,1.0,1.0,1.0
624,624.py,0.0,0.03303164318013808,0.10855926040543844,0.2222222222222222,1.0,0.6111111111111112
629,629.py,0.0,0.07786777655685517,0.11050470334180998,0.3,0.8,0.55
63,63.py,0.0,0.7297627709554282,0.741281323081252,1.0,1.0,1.0
633,633.py,0.0,0.9304899483313593,0.9346720309875108,1.0,1.0,1.0
635,635.py,0.0,0.007198209131192452,0.013198214382567065,0.19230769230769232,0.26666666666666666,0.2294871794871795
637,637.py,1.0,1.0,1.0,1.0,1.0,1.0
639,639.py,1.0,1.0,1.0,1.0,1.0,1.0
64,64.py,0.0,0.008830895300928163,0.01593635736660335,0.15384615384615385,0.8,0.47692307692307695
68,68.py,0.0,0.038949067388366815,0.0487241319954127,0.0,0.2857142857142857,0.14285714285714285
72,72.py,0.0,0.018120458368871713,0.06405505209826226,0.45454545454545453,1.0,0.7272727272727273
725,725.py,1.0,1.0,1.0,1.0,1.0,1.0
730,730.py,1.0,1.0,1.0,1.0,1.0,1.0
732,732.py,1.0,1.0,1.0,1.0,1.0,1.0
733,733.py,1.0,1.0,1.0,1.0,1.0,1.0
735,735.py,1.0,1.0,1.0,1.0,1.0,1.0
736,736.py,1.0,1.0,1.0,1.0,1.0,1.0
737,737.py,0.0,0.19674979811155635,0.31415402948866555,0.6923076923076923,1.0,0.8461538461538461
738,738.py,0.0,0.21858844577603043,0.23244969772653679,0.3684210526315789,1.0,0.6842105263157895
742,742.py,1.0,1.0,1.0,1.0,1.0,1.0
743,743.py,0.0,0.06804621483119704,0.07316739223859796,0.07142857142857142,0.75,0.4107142857142857
744,744.py,0.0,0.9036020036098448,0.9136996825744889,0.7142857142857143,1.0,0.8571428571428572
745,745.py,1.0,1.0,1.0,1.0,1.0,1.0
747,747.py,0.0,0.8437402348661122,0.8607716538474488,0.7542372881355932,0.38202247191011235,0.5681298800228528
748,748.py,1.0,1.0,1.0,1.0,1.0,1.0
749,749.py,1.0,1.0,1.0,1.0,1.0,1.0
751,751.py,0.0,0.8024680210490397,0.7985112174630484,0.8679245283018868,0.925,0.8964622641509434
755,755.py,0.0,0.015721757597198516,0.04118845490097419,0.5,0.75,0.625
757,757.py,0.0,0.9510699415570292,0.9573479717381596,0.8823529411764706,1.0,0.9411764705882353
760,760.py,0.0,0.08406863224415036,0.1487964117124549,0.5833333333333334,1.0,0.7916666666666667
763,763.py,0.0,0.9244754047211334,0.9287259784122379,1.0,1.0,1.0
764,764.py,0.0,0.12245315088138854,0.3180610472500743,0.4583333333333333,0.6428571428571429,0.5505952380952381
766,766.py,1.0,1.0,1.0,1.0,1.0,1.0
769,769.py,0.0,0.21711852081087685,0.23119742295813958,0.8,1.0,0.9
770,770.py,0.0,0.9276077030810346,0.9311214315236566,1.0,1.0,1.0
771,771.py,1.0,1.0,1.0,1.0,1.0,1.0
772,772.py,1.0,1.0,1.0,1.0,1.0,1.0
776,776.py,1.0,1.0,1.0,1.0,1.0,1.0
777,777.py,0.0,0.7721947901921794,0.781922082312999,0.6774193548387096,0.7,0.6887096774193548
778,778.py,1.0,1.0,1.0,1.0,1.0,1.0
780,780.py,1.0,1.0,1.0,1.0,1.0,1.0
783,783.py,1.0,1.0,1.0,1.0,1.0,1.0
784,784.py,1.0,1.0,1.0,1.0,1.0,1.0
785,785.py,1.0,1.0,1.0,1.0,1.0,1.0
786,786.py,0.0,0.4172261448611506,0.6147881529512643,0.6,1.0,0.8
