experiment,model,avg_codebleu,total_samples,csv_file
EXP_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v1_100_mbpp,0.2536080000000000,97,results/experiment_codebleu/EXP_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v2_100_mbpp,0.25047399999999997,84,results/experiment_codebleu/EXP_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v1_100_mbpp,0.24632599999999999,97,results/experiment_codebleu/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v1_2_mbpp,0.22925499999999999,2,results/experiment_codebleu/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v1_2_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v2_100_mbpp,0.25066400000000000,95,results/experiment_codebleu/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,qwen14_exp3-1_during_gen_v1_100_mbpp,0.2761710000000000,98,results/experiment_codebleu/EXP_3_V1_V2_MBPP_qwen14_exp3-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,qwen14_exp3-1_during_gen_v2_100_mbpp,0.2590200000000000,100,results/experiment_codebleu/EXP_3_V1_V2_MBPP_qwen14_exp3-1_during_gen_v2_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_1_during_gen_v1_100_mbpp,0.25880500000000,99,results/experiment_codebleu/EXP_3_V1_V2_MBPP_qwen14_exp3_1_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_during_gen_v1_100_mbpp,0.2604950000000000,66,results/experiment_codebleu/EXP_3_V1_V2_MBPP_qwen14_exp3_during_gen_v1_100_mbpp_codebleu.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_during_gen_v2_100_mbpp,0.253612000000000,100,results/experiment_codebleu/EXP_3_V1_V2_MBPP_qwen14_exp3_during_gen_v2_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v1_100_mbpp,0.23263400000000001,100,results/experiment_codebleu/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v2_100_mbpp,0.2302580000000000,100,results/experiment_codebleu/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v2_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v3_100_mbpp,0.23445500000000000,99,results/experiment_codebleu/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v3_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v1_100_mbpp,0.2208680000000000,100,results/experiment_codebleu/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v1_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v2_100_mbpp,0.2149590000000000,100,results/experiment_codebleu/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v2_100_mbpp_codebleu.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v3_100_mbpp,0.2333270000000000,100,results/experiment_codebleu/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v3_100_mbpp_codebleu.csv
